init_type,sel_type,cross_type,mut_type,term_type,fitness_func,avg_fit_score,std_fit_score,max_fit_score,min_fit_score,avg_gens
gaussian,rws,2_parent_average,gaussian,generations,spherical,0.0005608020692504635,0.0013251615401641242,0.00809521149270342,1.3291518060315028e-08,30.0
gaussian,tournament,centroid,gaussian,generations,spherical,0.000719316598011798,0.0013095887044482137,0.00888390628197346,9.73317421888946e-08,30.0
gaussian,tournament,2_parent_average,gaussian,generations,spherical,0.0007225714884590939,0.0012927683788591944,0.005457020871646478,2.370389343163752e-08,30.0
uniform,rws,2_parent_average,gaussian,generations,spherical,0.0007641766579379026,0.001371746336833078,0.007708742535602702,3.4338356997578516e-08,30.0
gaussian,rws,centroid,gaussian,generations,spherical,0.0007905189816738041,0.00197338047060386,0.018435837223392672,5.026357966770207e-07,30.0
uniform,rws,2_parent_average,uniform,generations,spherical,0.0013331166085001566,0.0030490793188278687,0.025228869720031365,9.505484657163583e-08,30.0
gaussian,rws,2_parent_average,uniform,generations,spherical,0.0015317386391160447,0.0027177322290266826,0.01737537257413586,6.566073325837637e-10,30.0
gaussian,rws,centroid,uniform,generations,spherical,0.0016248714049468085,0.002867344297777445,0.017321868367174923,2.591418418983045e-08,30.0
uniform,tournament,centroid,gaussian,generations,spherical,0.0017075749686657079,0.0037033801371218603,0.025236182804996884,1.9523794014374987e-08,30.0
uniform,rws,centroid,gaussian,generations,spherical,0.0017100158669833675,0.004780926864137905,0.04139438574991828,3.1246960657524823e-07,30.0
uniform,tournament,centroid,uniform,generations,spherical,0.001789429950469024,0.0030488448044885073,0.021379071302247574,5.4026288900325196e-09,30.0
uniform,tournament,2_parent_average,gaussian,generations,spherical,0.0018048770613593196,0.005690899823842193,0.05304528568421673,4.1426316151717004e-09,30.0
gaussian,tournament,centroid,uniform,generations,spherical,0.001973539150081403,0.003650223776117175,0.0222241259603804,2.32581140189826e-08,30.0
gaussian,tournament,binary_mask,gaussian,generations,spherical,0.0021293015792885803,0.0029713540201388115,0.021980500258001273,5.976777607381906e-06,30.0
gaussian,tournament,two_point,gaussian,generations,spherical,0.0022858936542598978,0.0035578316723284538,0.025391702314933887,2.695095233956496e-07,30.0
gaussian,tournament,2_parent_average,uniform,generations,spherical,0.002377908008423483,0.004329213210981842,0.02415544433126981,6.583209506892831e-07,30.0
uniform,tournament,2_parent_average,uniform,generations,spherical,0.002437487798814776,0.004690313778770619,0.025353044212728507,2.468046206362532e-07,30.0
gaussian,tournament,2_parent_average,gaussian,convergence,spherical,0.0024566110218042013,0.004803880857891372,0.029845223963249876,4.944960325495936e-07,17.0
uniform,rws,centroid,uniform,generations,spherical,0.0026823353748444655,0.004719471813322578,0.033591317998570305,8.90219272908212e-09,30.0
gaussian,rws,two_point,gaussian,generations,spherical,0.0027374528067919696,0.0037835645741006924,0.017710429954052916,2.1514445114761497e-05,30.0
gaussian,tournament,centroid,gaussian,convergence,spherical,0.0027623447931755746,0.005784207985062585,0.047970694858498586,3.3144322021778497e-07,17.0
gaussian,rws,2_parent_average,gaussian,convergence,spherical,0.002956584340921722,0.005947667798807638,0.03335372014488319,4.612065181280789e-07,17.05
gaussian,rws,binary_mask,gaussian,generations,spherical,0.0030898827975167427,0.003713848681672278,0.019758617498038367,2.0109695165073536e-05,30.0
