init_type,sel_type,cross_type,mut_type,term_type,fitness_func,avg_fit_score,std_fit_score,max_fit_score,min_fit_score,avg_gens
gaussian,rws,2_parent_average,gaussian,generations,spherical,0.00021034595791846728,0.0004131506234700544,0.0024218432890817034,1.6091499850453372e-09,50.0
uniform,rws,2_parent_average,gaussian,generations,spherical,0.0002217917414781262,0.0005169553256460539,0.00413782303709167,9.91325880638842e-08,50.0
gaussian,rws,centroid,gaussian,generations,spherical,0.00024908743361448687,0.0003638604248134015,0.002088342375087922,5.4388876051498794e-08,50.0
gaussian,tournament,2_parent_average,gaussian,generations,spherical,0.0002527095952853713,0.0004949422947447518,0.003476446659791082,3.3906432853447776e-11,50.0
gaussian,tournament,centroid,gaussian,generations,spherical,0.0002733479295602066,0.0003855325774242905,0.002179392013283194,2.3250638534066626e-08,50.0
uniform,rws,centroid,gaussian,generations,spherical,0.0003024444787786313,0.00042515936644450103,0.0021528541808096416,9.707997102858275e-08,50.0
uniform,tournament,2_parent_average,gaussian,generations,spherical,0.0003073395825537345,0.0005790341830580261,0.004693982952782576,6.599754924626857e-09,50.0
uniform,tournament,centroid,gaussian,generations,spherical,0.0003343859824442888,0.0005459958412600823,0.003486571378569047,3.045780277983287e-08,50.0
gaussian,rws,2_parent_average,uniform,generations,spherical,0.0004176493538762874,0.0009216685844957196,0.006240408453570826,3.787712166111729e-07,50.0
gaussian,rws,centroid,uniform,generations,spherical,0.0005963773551264553,0.001022486034060609,0.0060862793623082875,5.2090449462573546e-08,50.0
gaussian,tournament,2_parent_average,uniform,generations,spherical,0.0006279683382969534,0.001054208723387472,0.006681654127909064,3.71993257406266e-07,50.0
uniform,rws,2_parent_average,uniform,generations,spherical,0.0006324843991998773,0.0010325752836755002,0.004156784253504578,3.7924089823763345e-08,50.0
gaussian,rws,binary_mask,gaussian,generations,spherical,0.00065001374129313,0.0008397264841074333,0.00455965309439619,7.6082471834599635e-06,50.0
gaussian,tournament,centroid,uniform,generations,spherical,0.0006591061601114008,0.0010056262045534338,0.004397668344628223,3.6245084982454694e-08,50.0
uniform,tournament,2_parent_average,uniform,generations,spherical,0.0006592992341074378,0.0017671133753571651,0.01470888362666425,5.194054408445618e-10,50.0
uniform,rws,centroid,uniform,generations,spherical,0.000669703656204752,0.0011277890381373493,0.00800342694579103,1.26204270340334e-07,50.0
gaussian,tournament,two_point,gaussian,generations,spherical,0.0007455305243110228,0.0009913927578436657,0.006040699378934011,6.346972532588127e-07,50.0
gaussian,tournament,binary_mask,gaussian,generations,spherical,0.0008459140061104534,0.0010211597542229883,0.004400755588132979,3.2138413708211794e-06,50.0
uniform,tournament,two_point,gaussian,generations,spherical,0.0008898356622820319,0.001215184190038937,0.006839701882064113,3.5777652597262126e-07,50.0
uniform,rws,binary_mask,gaussian,generations,spherical,0.001010022995038303,0.0016546276504419803,0.011339913142914562,3.1717359160092025e-06,50.0
uniform,tournament,centroid,uniform,generations,spherical,0.0010263710116724155,0.002528697017296726,0.020880903140782135,3.8571699025963636e-11,50.0
gaussian,rws,two_point,gaussian,generations,spherical,0.0011146706260625236,0.0017375947455977082,0.010548348173657313,2.7065437849921385e-07,50.0
uniform,tournament,binary_mask,gaussian,generations,spherical,0.0016680825951120326,0.0034125995146705784,0.021081410870583992,3.795922254408846e-06,50.0
gaussian,tournament,two_point,uniform,generations,spherical,0.0017003743179964444,0.0017954308146325942,0.011024842608359212,1.6803821501138306e-05,50.0
gaussian,tournament,binary_mask,uniform,generations,spherical,0.001809287008422,0.0027305953488968365,0.01544348930747265,2.5458481786585052e-05,50.0
uniform,rws,two_point,gaussian,generations,spherical,0.001852743040114794,0.005316179566743649,0.03971473527834271,2.2698247343024365e-06,50.0
uniform,tournament,binary_mask,uniform,generations,spherical,0.0018717970361549216,0.002686284738987696,0.014418376973725796,1.7513103066668196e-05,50.0
uniform,tournament,two_point,uniform,generations,spherical,0.0021611167195084067,0.00289899542816909,0.01617008181113056,7.961704509971839e-06,50.0
gaussian,rws,binary_mask,uniform,generations,spherical,0.0022826442961364716,0.00309559250824276,0.01629947978623914,3.140077962552013e-06,50.0
uniform,rws,two_point,uniform,generations,spherical,0.002319954861013892,0.003270043494722904,0.017501299265344356,3.969425102752095e-06,50.0
gaussian,rws,two_point,uniform,generations,spherical,0.002347223926863747,0.004831761037106851,0.04188676652550543,4.5982245581483746e-06,50.0
uniform,rws,binary_mask,uniform,generations,spherical,0.0024371010411025204,0.003914402274863989,0.022813467694718682,2.3233545319744838e-05,50.0
gaussian,rws,centroid,gaussian,convergence,spherical,0.0025613608241832975,0.00613639958760959,0.047584776848800345,2.811403801231387e-08,17.0
gaussian,tournament,2_parent_average,gaussian,convergence,spherical,0.0035940920433753048,0.008715697130562182,0.05960238469504017,7.860717725490868e-08,17.0
gaussian,tournament,centroid,gaussian,convergence,spherical,0.004119606692748536,0.008637515270274653,0.07094861037282338,6.483582345507149e-08,17.0
gaussian,rws,2_parent_average,gaussian,convergence,spherical,0.0042677972472671645,0.010571148750849056,0.06872520555597478,1.1171439404229382e-06,17.0
gaussian,tournament,2_parent_average,uniform,convergence,spherical,0.004741911460638777,0.007132890556635743,0.0380086894134334,3.2303446395614445e-08,17.0
uniform,tournament,2_parent_average,gaussian,convergence,spherical,0.005040054438009556,0.011805357517795732,0.09593352882421877,7.992930354772172e-08,17.12
gaussian,rws,centroid,uniform,convergence,spherical,0.0050599236262263,0.00887343474516293,0.051649148894872404,1.354835906601143e-07,17.0
gaussian,tournament,centroid,uniform,convergence,spherical,0.005091842908533132,0.00728640630418473,0.03912874903172008,3.2360728541862964e-07,17.0
gaussian,rws,2_parent_average,uniform,convergence,spherical,0.005415250746144149,0.01403661458552771,0.11641144936152954,2.197232859536076e-06,17.0
uniform,rws,2_parent_average,gaussian,convergence,spherical,0.0064220098660744355,0.013891874287736432,0.0776352385263257,2.35653979075002e-06,17.05
uniform,rws,centroid,gaussian,convergence,spherical,0.006525810591149238,0.009896056005761194,0.050239249615595005,2.9526665715607702e-08,17.38
uniform,tournament,centroid,gaussian,convergence,spherical,0.006620836135186764,0.01218981633570506,0.06335347512044054,9.631076527458778e-09,17.39
uniform,tournament,centroid,uniform,convergence,spherical,0.006732554573492788,0.011363250771302347,0.05432968321215114,7.027240500863369e-07,17.1
uniform,tournament,2_parent_average,uniform,convergence,spherical,0.007037818682344536,0.012679347410145475,0.06599640179582934,2.4446514331265556e-09,17.06
uniform,rws,2_parent_average,uniform,convergence,spherical,0.007993084298719694,0.014092606786185449,0.0685906947595002,1.7135009639813088e-07,17.26
gaussian,tournament,binary_mask,gaussian,convergence,spherical,0.009959973614763343,0.014089567745877503,0.06598152015907262,3.241327632264183e-05,17.0
uniform,rws,centroid,uniform,convergence,spherical,0.010539282413071225,0.02096460757284658,0.10371917332932937,1.1406338988381624e-07,17.27
uniform,tournament,binary_mask,gaussian,convergence,spherical,0.011229307924804225,0.01501091216590134,0.08704542228921877,3.805277161130354e-05,17.93
